2026-05-12 13:23:03 [INF] HTTP GET /Admin/DataCapture responded 200 in 94.8567 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000003B","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":32}
2026-05-12 13:23:03 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 3.5169 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000003D","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":32}
2026-05-12 13:23:03 [INF] HTTP GET /assets/css/plugins/swiper.css responded 200 in 15.6940 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000041","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":34}
2026-05-12 13:23:03 [INF] HTTP GET /assets/images/icons/01.svg responded 200 in 43.0954 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000049","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":38}
2026-05-12 13:23:03 [INF] HTTP GET /assets/images/icons/07.png responded 200 in 51.7742 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000004F","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":31}
2026-05-12 13:23:03 [INF] HTTP GET /assets/images/icons/04.png responded 200 in 67.7469 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000055","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":32}
2026-05-12 13:23:03 [INF] HTTP GET /assets/images/icons/01.png responded 200 in 93.2660 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000004D","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":37}
2026-05-12 13:23:03 [INF] HTTP GET /css/custom.css responded 200 in 131.1935 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000047","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":41}
2026-05-12 13:23:03 [INF] HTTP GET /assets/images/icons/05.png responded 200 in 71.7615 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000057","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":43}
2026-05-12 13:23:03 [INF] HTTP GET /assets/images/icons/06.png responded 200 in 61.3241 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000005B","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":40}
2026-05-12 13:23:03 [INF] HTTP GET /assets/images/icons/03.png responded 200 in 74.6706 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000059","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":34}
2026-05-12 13:23:03 [INF] HTTP GET /assets/images/icons/08.png responded 200 in 77.9342 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000053","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":32}
2026-05-12 13:23:03 [INF] HTTP GET /assets/js/main.js responded 200 in 75.2161 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000063","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":36}
2026-05-12 13:23:03 [INF] HTTP GET /assets/images/avatar/user-2.svg responded 200 in 146.4129 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000004B","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":40}
2026-05-12 13:23:03 [INF] HTTP GET /assets/js/plugins/bootstrap.min.js responded 200 in 115.3864 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000061","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":43}
2026-05-12 13:23:03 [INF] HTTP GET /assets/js/plugins/jquery.min.js responded 200 in 125.3146 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000005D","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":44}
2026-05-12 13:23:03 [INF] HTTP GET /assets/js/plugins/swiper.js responded 200 in 128.2793 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:0000005F","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":41}
2026-05-12 13:23:03 [INF] HTTP GET /assets/css/vendor/bootstrap.min.css responded 200 in 220.3946 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000043","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":32}
2026-05-12 13:23:03 [INF] HTTP GET /assets/css/style.css responded 200 in 232.0812 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG30MPBFI8:00000045","ConnectionId":"0HNLG30MPBFI8","MachineName":"BERINNOTEBOOK","ProcessId":39024,"ThreadId":39}
